id,friendly_url,name,alternate_name,post,latitude,longitude,bounds_northeast_latitude,bounds_northeast_longitude,bounds_southwest_latitude,bounds_southwest_longitude,viewport_northeast_latitude,viewport_northeast_longitude,viewport_southwest_latitude,viewport_southwest_longitude,type,parent_id,place_id,formatted_address,old_id
42022,swanbourne,Swanbourne,Swanbourne,6010,-31.982423,115.769504,-31.95124,115.777384,-31.984645,115.75319,-31.95124,115.777384,-31.984645,115.75319,suburb,107,ChIJAQ9NteilMioRQFLfNbXwBAU,"Swanbourne WA, Australia",14037
42023,cottesloe,Cottesloe,Cottesloe,6011,-31.989773,115.753566,-31.981978,115.769525,-32.015946,115.749491,-31.981978,115.769525,-32.015946,115.749491,suburb,107,ChIJtf-PWCCkMioRYELfNbXwBAU,"Cottesloe WA 6011, Australia",14038
42024,peppermint-grove,Peppermint Grove,Peppermint Grove,6011,-31.99799,115.763804,-31.993312,115.774766,-32.004332,115.759486,-31.993312,115.774766,-32.004332,115.759486,suburb,107,ChIJsThVRRikMioRwE7fNbXwBAU,"Peppermint Grove WA 6011, Australia",14039
42025,mosman-park,Mosman Park,Mosman Park,6012,-32.007233,115.757893,-32.003402,115.781505,-32.025094,115.751229,-32.003402,115.781505,-32.025094,115.751229,suburb,107,ChIJE-9T9QakMioRsEvfNbXwBAU,"Mosman Park WA 6012, Australia",14040
42026,floreat,Floreat,Floreat,6014,-31.939019,115.792213,-31.926884,115.804223,-31.950015,115.768717,-31.926884,115.804223,-31.950015,115.768717,suburb,107,ChIJvX3R6Y2lMioRQETfNbXwBAU,"Floreat WA 6014, Australia",14041
42027,jolimont,Jolimont,Jolimont,6014,-31.947169,115.812369,-31.941973,115.816088,-31.95033,115.804198,-31.941973,115.816088,-31.95033,115.804198,suburb,107,ChIJaxO-XAulMioRkEffNbXwBAU,"Jolimont WA 6014, Australia",14043
42028,wembley,Wembley,Wembley,6014,-31.940939,115.820765,-31.921724,115.829444,-31.942173,115.803997,-31.921724,115.829444,-31.942173,115.803997,suburb,107,ChIJE8bbSWWlMioRAFTfNbXwBAU,"Wembley WA 6014, Australia",14044
42029,city-beach,City Beach,City Beach,6015,-31.934363,115.762531,-31.908159,115.784396,-31.959673,115.754375,-31.908159,115.784396,-31.959673,115.754375,suburb,107,ChIJKSTFvlmvMioRsEHfNbXwBAU,"City Beach WA 6015, Australia",14045
42030,glendalough,Glendalough,Glendalough,6016,-31.92164,115.820063,-31.91504,115.825974,-31.924555,115.813876,-31.91504,115.825974,-31.924555,115.813876,suburb,107,ChIJ9yQ3dYyvMioR8ETfNbXwBAU,"Glendalough WA 6016, Australia",14046
42031,mount-hawthorn,Mount Hawthorn,Mount Hawthorn,6016,-31.921111,115.838338,-31.914121,115.846389,-31.927595,115.823208,-31.914121,115.846389,-31.927595,115.823208,suburb,107,ChIJ7YAGN1ulMioR0EvfNbXwBAU,"Mount Hawthorn WA 6016, Australia",14047
42032,herdsman,Herdsman,Herdsman,6017,-31.910444,115.80546,-31.90868,115.815555,-31.929521,115.793907,-31.90868,115.815555,-31.929521,115.793907,suburb,107,ChIJVXTVk4GlMioRMEbfNbXwBAU,"Herdsman WA 6017, Australia",14048
42033,osborne-park,Osborne Park,Osborne Park,6017,-31.906641,115.813785,-31.889862,115.828668,-31.917144,115.80019,-31.889862,115.828668,-31.917144,115.80019,suburb,107,ChIJreJzBGOuMioREE7fNbXwBAU,"Osborne Park WA 6017, Australia",14049
42034,churchlands,Churchlands,Churchlands,6018,-31.930142,115.80259,-31.911,115.804225,-31.932726,115.783785,-31.911,115.804225,-31.932726,115.783785,suburb,107,ChIJI91ErmSvMioRoEHfNbXwBAU,"Churchlands WA 6018, Australia",14051
42035,doubleview,Doubleview,Doubleview,6018,-31.895742,115.782382,-31.885255,115.788507,-31.908282,115.775691,-31.885255,115.788507,-31.908282,115.775691,suburb,107,ChIJgfhCbRivMioRMEPfNbXwBAU,"Doubleview WA 6018, Australia",14052
42036,gwelup,Gwelup,Gwelup,6018,-31.876257,115.796569,-31.858449,115.801532,-31.882454,115.787175,-31.858449,115.801532,-31.882454,115.787175,suburb,107,ChIJ5XwrP_CuMioRkEXfNbXwBAU,"Gwelup WA 6018, Australia",14053
42037,innaloo,Innaloo,Innaloo,6018,-31.902112,115.798775,-31.882412,115.806421,-31.904125,115.787047,-31.882412,115.806421,-31.904125,115.787047,suburb,107,ChIJU8o13QWvMioRIEffNbXwBAU,"Innaloo WA 6018, Australia",14055
42038,karrinyup,Karrinyup,Karrinyup,6018,-31.875526,115.778003,-31.857478,115.790812,-31.885317,115.760018,-31.857478,115.790812,-31.885317,115.760018,suburb,107,ChIJATBM8MOuMioRQEjfNbXwBAU,"Karrinyup WA 6018, Australia",14056
42039,woodlands,Woodlands,Woodlands,6018,-31.908914,115.792066,-31.8991,115.801999,-31.915809,115.785476,-31.8991,115.801999,-31.915809,115.785476,suburb,107,ChIJk17ZmXKvMioR8FTfNbXwBAU,"Woodlands WA 6018, Australia",14057
42040,scarborough,Scarborough,Scarborough,6019,-31.89435,115.760041,-31.883505,115.7763,-31.908218,115.754789,-31.883505,115.7763,-31.908218,115.754789,suburb,107,ChIJMcWOsDmvMioRgFDfNbXwBAU,"Scarborough WA 6019, Australia",14058
42041,wembley-downs,Wembley Downs,Wembley Downs,6019,-31.911043,115.774068,-31.907173,115.78894,-31.93279,115.765971,-31.907173,115.78894,-31.93279,115.765971,suburb,107,ChIJKfcCLkOvMioREFTfNbXwBAU,"Wembley Downs WA 6019, Australia",14059
42042,carine,Carine,Carine,6020,-31.848403,115.783973,-31.845091,115.801259,-31.859558,115.762441,-31.845091,115.801259,-31.859558,115.762441,suburb,107,ChIJM6fOmpiuMioRQEHfNbXwBAU,"Carine WA 6020, Australia",14060
42043,marmion,Marmion,Marmion,6020,-31.843257,115.755991,-31.834719,115.764329,-31.847283,115.749352,-31.834719,115.764329,-31.847283,115.749352,suburb,107,ChIJmflBIPirMioRsErfNbXwBAU,"Marmion WA 6020, Australia",14061
42044,north-beach,North Beach,North Beach,6020,-31.861615,115.754414,-31.852856,115.769031,-31.86831,115.751458,-31.852856,115.769031,-31.86831,115.751458,suburb,107,ChIJI6Klea2uMioRME3fNbXwBAU,"North Beach WA 6020, Australia",14062
42045,sorrento,Sorrento,Sorrento,6020,-31.822268,115.759211,-31.816801,115.764326,-31.838225,115.742061,-31.816801,115.764326,-31.838225,115.742061,suburb,107,ChIJr70UC4urMioREFHfNbXwBAU,"Sorrento WA 6020, Australia",14063
